word,count,magnitude,frequency,frequency_rank,magnitude_rank
的,1682530,12.647304021309159,0.05173287115974451,1.0,5240.0
我,1682285,14.378131622577623,0.05172533812708884,2.0,4946.0
你,1329424,14.552131076749824,0.040875895531534166,3.0,4673.0
是,947807,13.138550969673664,0.029142290131708774,4.0,5233.0
了,946365,13.530471617394591,0.029097952853792568,5.0,5224.0
不,689161,14.001210028997214,0.021189682930658402,6.0,5162.0
在,429766,13.051749907449933,0.013214046172632141,7.0,5234.0
他,397653,13.689287330003742,0.01222666544744277,8.0,5208.0
我们,371696,9.816932897366542,0.011428563697879025,9.0,21322.0
好,334698,14.18584230101589,0.010290983525657294,10.0,5080.0
有,289109,13.286572816968395,0.008889255257334238,11.0,5230.0
这,286987,14.143345148170491,0.008824009970414552,12.0,5097.0
就,276636,14.036693590468092,0.008505747027480687,13.0,5152.0
会,265929,14.06973492600666,0.00817653812689206,14.0,5134.0
吗,249187,14.877389093173749,0.007661770646397541,15.0,3694.0
要,238656,13.844346599367476,0.007337973230492166,16.0,5187.0
什么,236517,9.986469156094842,0.007272205243347395,17.0,15357.0
说,226955,14.448044836164831,0.00697820174027198,18.0,4850.0
她,221420,14.142272767701874,0.006808016696398061,19.0,5098.0
想,212185,14.430216429171136,0.006524067485887555,20.0,4880.0
一,203626,13.386084409045461,0.006260903296092275,21.0,5227.0
很,200584,14.350642815430527,0.006167370702873763,22.0,4971.0
知道,196745,9.696236929343423,0.0060493326932202895,23.0,24717.0
人,194914,13.682494747513598,0.005993034804271211,24.0,5209.0
吧,194084,14.448042687239218,0.005967514734458139,25.0,4851.0
那,190087,14.450862197884952,0.005844618687418562,26.0,4845.0
来,185154,14.542146920474607,0.005692943380927136,27.0,4705.0
都,177619,14.054635849371037,0.005461264192925332,28.0,5143.0
个,173905,14.113878537536802,0.005347069567279851,29.0,5110.0
能,166656,14.102034644145354,0.005124184041888335,30.0,5120.0
去,163054,14.186036097471304,0.005013433088314015,31.0,5079.0
没,159508,14.885281100999014,0.004904403970775277,32.0,3657.0
和,150418,13.249460314213424,0.004624913085714043,33.0,5232.0
他们,140460,9.455263925184724,0.0043187337421013074,34.0,28127.0
到,139534,13.574605476698881,0.004290261953370097,35.0,5221.0
对,132805,14.33794768605653,0.004083364905451831,36.0,4984.0
也,131801,13.785148870455947,0.004052494845099633,37.0,5196.0
啊,130963,14.734819928105908,0.00402672879871005,38.0,4191.0
还,130326,14.339499759108104,0.004007142913805319,39.0,4981.0
把,124534,14.096040387006754,0.003829055872410966,40.0,5122.0
让,123809,14.430188155120467,0.003806764245164608,41.0,4881.0
做,122364,14.33052324015457,0.0037623347260322113,42.0,4992.0
给,117218,14.753685689285609,0.0036041102931911656,43.0,4133.0
一个,116726,9.080943605163686,0.003588982733735706,44.0,29120.0
上,114371,13.556030677916302,0.0035165733790251223,45.0,5222.0
你们,112946,10.212491388934865,0.0034727588013340046,46.0,8823.0
过,112388,14.380354381578245,0.003455601935122325,47.0,4941.0
没有,108237,9.429165148181152,0.0033279708389849015,48.0,28290.0
得,105189,14.05383525924276,0.0032342537633340057,49.0,5144.0
看,102546,14.505490163430103,0.0031529892518690067,50.0,4775.0
真,102445,14.380152055036831,0.0031498837975905488,51.0,4942.0
着,100091,14.508480738318648,0.003077505189952029,52.0,4769.0
事,97715,14.07320389003645,0.0030044501467281024,53.0,5132.0
这个,92058,9.374616538706967,0.0028305139600623822,54.0,28566.0
怎么,89166,10.145579659766293,0.0027415934276534618,55.0,10290.0
现在,88120,9.158883837759618,0.002709431990274578,56.0,29044.0
可以,79198,9.04505105854245,0.002435106613320087,57.0,29147.0
点,77665,14.405910624730433,0.0023879713518460636,58.0,4913.0
呢,76752,14.804129632377826,0.0023598992750516845,59.0,3971.0
如果,76417,9.47549772308892,0.0023495990059102636,60.0,27987.0
